     1999          2       6.92       1670         76  
     1999          3       7.01       1710         84  
     1999          4       7.05       1553         86  
     1999          5       7.09       1611         80  
     1999          6       7.34       1559         82  
     1999          7       7.59       1669         78  
     1999          8       7.79       1648         78  
     1999          9       7.87       1635         65  
     1999         10       7.87       1608         67  
     1999         11       7.87       1648         61  
     1999         12        7.9       1708         57  
     2000          1       8.08       1636         67  
     2000          2       8.27       1737         78  
     2000          3       8.31       1604         88  
     2000          4       8.27       1626         78  
     2000          5       8.35       1575         77  
     2000          6       8.43       1559         71  
     2000          7       8.29       1463         76  
     2000          8       8.16       1541         73  
     2000          9       8.03       1507         70  
     2000         10       7.95       1549         71  
     2000         11       7.85       1551         63  
     2000         12       7.68       1532         65  
     2001          1       7.31       1600         72  
     2001          2       7.13       1625         85  
     2001          3       7.06       1590         94  
     2001          4       7.09       1649         84  
     2001          5       7.18       1605         80  
     2001          6       7.21       1636         79  
     2001          7       7.21       1670         76  
     2001          8       7.13       1567         74  
     2001          9       6.97       1562         66  
     2001         10       6.76       1540         66  
     2001         11       6.67       1602         67  
     2001         12       6.89       1568         66  
     2002          1       7.02       1698         66  
     2002          2       6.98       1829         84  
     2002          3       6.98       1642         90  
     2002          4       7.11       1592         86  
     2002          5       6.99       1764         88  
     2002          6       6.87       1717         84  
     2002          7       6.72       1655         82  
     2002          8       6.53       1633         90  
     2002          9       6.36       1804         82  
     2002         10       6.23       1648         77  
     2002         11        6.2       1753         73  
     2002         12       6.21       1788         70  
     2003          1       6.09       1853         76  
     2003          2       6.02       1629         82  
     2003          3        5.9       1726         98  
     2003          4        5.9       1643         91  
     2003          5       5.74       1751        101  
     2003          6        5.5       1867        107  
     2003          7       5.53       1897         99  
     2003          8       5.88       1833        105  
     2003          9       6.19       1939         90  
     2003         10       6.05       1967         88  
     2003         11       6.06       2083         76  
     2003         12          6       2057         75  
     2004          1       5.92       1927         89  
     2004          2       5.85       1852        102  
     2004          3       5.71       2007        123  
     2004          4       5.72       1968        109  
     2004          5       6.07       1974        115  
     2004          6       6.25       1827        105  
     2004          7       6.26       1986         96  
     2004          8        6.1       2025        102  
     2004          9        5.9       1912         94  
     2004         10       5.91       2062        101  
     2004         11       5.89       1807         84  
     2004         12        5.9       2050         83  
     2005          1        5.9       2188         92  
     2005          2        5.9       2228        109  
     2005          3       5.98       1836        128  
     2005          4       6.09       2038        122  
