"Tennessee"                               0       30.2       75.9       19.6        138          2       2000  
"Texas"                                   0      35.51       75.7       23.2       79.6          2       2000  
"Utah"                                    0      40.31       87.7       26.1       27.2          3       2000  
"Vermont"                                 1         34       86.4       29.4       65.8          1       2000  
"Virginia"                                0      44.62       81.5       29.5      178.8          2       2000  
"Washington"                              1      37.45       87.1       27.7       88.6          3       2000  
"West Virginia"                           0      25.89       75.2       14.8       75.1          2       2000  
"Wisconsin"                               1      40.41       85.1       22.4       98.8          1       2000  
"Wyoming"                                 0      34.78       87.9       21.9        5.1          3       2000  
"Alabama"                                 0      30.96       82.4       22.3      89.38          2       2004  
"Alaska"                                  0      44.38       90.2       25.5       1.15          3       2004  
"Arizona"                                 0       34.6       84.4         28      50.85          3       2004  
"Arkansas"                                0      27.58       79.2       18.8      52.96          2       2004  
"California"                              1      40.54       81.3       31.7     228.78          3       2004  
"Colorado"                                0      41.45       88.3       35.5      44.28          3       2004  
"Connecticut"                             1      45.47       88.8       34.5     720.22          1       2004  
"Delaware"                                1      40.75       86.5       26.9     425.65          1       2004  
"District of Columbia"                    1      34.94       86.4       45.7    9036.19          1       2004  
"Florida"                                 0      32.64       85.9         26     323.19          2       2004  
"Georgia"                                 0      35.11       85.2       27.6     153.62          2       2004  
"Hawaii"                                  1      43.16         88       26.6     196.56          3       2004  
"Idaho"                                   0      34.54       87.9       23.8      16.94          3       2004  
"Illinois"                                1       37.2       86.8       27.4     228.38          1       2004  
"Indiana"                                 0      34.28       87.2       21.1     173.79          1       2004  
"Iowa"                                    0      34.97       89.8       24.3      52.96          1       2004  
"Kansas"                                  0      35.52       89.6         30      33.42          1       2004  
"Kentucky"                                0      30.38       81.8         21     104.38          2       2004  
"Louisiana"                               0      28.86       78.7       22.4      103.6          2       2004  
"Maine"                                   1      32.01       87.1       24.2      42.52          1       2004  
"Maryland"                                1      46.12       87.4       35.2     566.78          1       2004  
"Massachusetts"                           1      42.53       86.9       36.7     814.89          1       2004  
"Michigan"                                1      36.13       87.9       24.4     177.54          1       2004  
"Minnesota"                               1      45.43       92.3       32.5      63.94          1       2004  
"Mississippi"                             0      27.35         83       20.1      61.94          2       2004  
"Missouri"                                0      35.74       87.9       28.1       83.6          1       2004  
"Montana"                                 0       28.6       91.9       25.5       6.38          3       2004  
"Nebraska"                                0      36.25       91.3       24.8      22.76          1       2004  
"Nevada"                                  0      38.17       86.3       24.5      21.23          3       2004  
"New Hampshire"                           1      46.59       90.8       35.4     144.41          1       2004  
"New Jersey"                              1      46.12       87.6       34.6    1167.16          1       2004  
"New Mexico"                              1      30.54       82.9       25.1      15.71          3       2004  
"New York"                                1      35.93       85.4       30.6     406.63          1       2004  
"North Carolina"                          0      31.68       80.9       23.4     175.65          2       2004  
"North Dakota"                            0      32.17       89.5       25.2       9.24          3       2004  
"Ohio"                                    0      35.88       88.1       24.6     279.43          1       2004  
"Oklahoma"                                0       31.1       85.2       22.9      51.39          3       2004  
"Oregon"                                  1      34.62       87.4       25.9      37.46          3       2004  
"Pennsylvania"                            1      35.98       86.5       25.3     276.68          1       2004  
"Rhode Island"                            1      37.53       81.1       27.2    1024.57          1       2004  
"South Carolina"                          0      31.95       83.6       24.9      139.7          2       2004  
"South Dakota"                            0      32.92       87.5       25.5      10.16          3       2004  
"Tennessee"                               0      31.32       82.9       24.3     143.34          2       2004  
"Texas"                                   0      33.53       78.3       24.5      85.78          2       2004  
"Utah"                                    0      41.12         91       30.8      29.49          3       2004  
"Vermont"                                 1      37.12       90.8       34.2      67.05          1       2004  
"Virginia"                                0      43.28       88.4       33.1     188.66          2       2004  
"Washington"                              1      39.56       89.7       29.9      93.31          3       2004  
"West Virginia"                           0      26.48       80.9       15.3      75.39          2       2004  
"Wisconsin"                               1      38.36       88.8       25.6     101.31          1       2004  
"Wyoming"                                 0      35.46       91.9       22.5       5.22          3       2004  
